"customer_id";"first_name";"last_name";"phone";"email";"street";"city";"zip_code"
1;"ivan";"ivanov";"+3598822388";"xxzz@gmail.com";"x1xcxcwdfgt";"varna";35221
2;"kiril";"kirolov";"+35988233898";"xxzz@gmail.com";"x1xcxcsd";"sofia";35921
3;"emil";"emilov";"+35988223898";"xxzz@gmail.com";"x1xcxcwdg";"varna";35220
4;"martin";"NA";"+35988233898";"xxzz@gmail.com";"x1xcxcse";"plovdiv";35421
5;"maria";"marinova";"+35988233898";"xxzz@gmail.com";"x1xcxcr";"varn";35228
6;"gergana";"tsenova";"+35988233898";"xxzz@gmail.com";"x1xcxc45t";"ruse";35227
7;"alexandra";"NA";"+35982233898";"xxzz@gmail.com";"x1xcxc12";"smolqn";35321
8;"alexandar";"markov";"+35982233898";"xxzz@gmail.com";"x1xcxcvb";"petrich";35221
9;"ivan";"ninov";"+35243336611";"xctewwew@gmail.com";"x1xcxc";"varna";211
10;"ahmet";"ninov";"+35949336611";"xewewwew@gmail.com";"xc7cxc";"varna";21100
11;"ahil";"ninov";"+35943836611";"xcuewwew@gmail.com";"xcxcx7";"varna";21155
12;"daniela";"ninov";"+35913336611";"icwewwew@gmail.com";"xcxcx9";"varna";24789
13;"ivan";"danailov";"+35983336611";"ocwewwew@gmail.com";"xcxcx1";"varna";21154
14;"NA";"ivanov";"+35943333611";"xcwiwwew@gmail.com";"xcxcx3";"varna";21176
15;"marin";"kotsev";"+35943346611";"xqwewwew@gmail.com";"xcxcx5";"varna";21143
16;"tsvetomir";"angrelov";"+35243336611";"xceewwew@gmail.com";"xcxcx6";"varna";21144
17;"kolio";"kolev";"+35943336611";"xcwewtew@gmail.com";"xcxcx2";"varna";21187
