"staff_id";"first_name";"last_name";"email";"phone";"store_id";"manager_id"
1;"klara";"kamenova";"xxez@gmail.com";"895332332";1;1
2;"eva";"adamova";"xxzr@gmail.com";"895332332";5;2
3;"martin";"toshev";"xqzz@gmail.com";"895332332";4;1
4;"maria";"ivanova";"xozz@gmail.com";"895332332";8;2
5;"NA";"getov";"xxzg@gmail.com";"895332332";6;1
6;"spas";"spasov";"xkzz@gmail.com";"895332332";3;2
7;"dimitar";"delchev";"cxzz@gmail.com";"895332332";2;1
8;"georgi";"asenov";"xxzz@gmail.com";"895332332";7;2
9;"marin";"NA";"xkzz@gmail.com";"895332332";9;1
10;"ivan";"marinov";"xxza@gmail.com";"895432332";10;2
11;"kiril";"andonov";"xaee@gmail.com";"884443222";4;3
12;"natasha";"kirilov";"xaee@gmail.com";"885433222";3;4
13;"asen";"asenov";"xaee@gmail.com";"884433262";2;2
14;"dimitar";"ivanov";"xaee@gmail.com";"884773222";5;1
15;"john";"micakel";"xaee@gmail.com";"884438222";3;2
16;"andtrei";"andreev";"xaee@gmail.com";"884133222";2;4
17;"michael";"jochn";"xaee@gmail.com";"884439222";4;1
